dataset_size,model,accuracy,f1_score,precision,recall
0.1,Random Forest (Baseline),0.7412280701754386,0.03278688524590164,0.16666666666666666,0.01818181818181818
0.1,Random Forest (Augmented),0.6929824561403509,0.18604651162790697,0.25806451612903225,0.14545454545454545
0.2,Random Forest (Baseline),0.7412280701754386,0.06349206349206349,0.25,0.03636363636363636
0.2,Random Forest (Augmented),0.6929824561403509,0.05405405405405406,0.10526315789473684,0.03636363636363636
0.3,Random Forest (Baseline),0.7543859649122807,0.034482758620689655,0.3333333333333333,0.01818181818181818
0.3,Random Forest (Augmented),0.7324561403508771,0.06153846153846154,0.2,0.03636363636363636
0.4,Random Forest (Baseline),0.75,0.0,0.0,0.0
0.4,Random Forest (Augmented),0.7456140350877193,0.0,0.0,0.0
0.5,Random Forest (Baseline),0.7543859649122807,0.0,0.0,0.0
0.5,Random Forest (Augmented),0.7456140350877193,0.06451612903225806,0.2857142857142857,0.03636363636363636
0.6,Random Forest (Baseline),0.7587719298245614,0.0,0.0,0.0
0.6,Random Forest (Augmented),0.7412280701754386,0.0,0.0,0.0
0.7,Random Forest (Baseline),0.7631578947368421,0.03571428571428571,1.0,0.01818181818181818
0.7,Random Forest (Augmented),0.7587719298245614,0.09836065573770492,0.5,0.05454545454545454
0.8,Random Forest (Baseline),0.7543859649122807,0.0,0.0,0.0
0.8,Random Forest (Augmented),0.7631578947368421,0.1,0.6,0.05454545454545454
0.9,Random Forest (Baseline),0.7587719298245614,0.0,0.0,0.0
0.9,Random Forest (Augmented),0.7675438596491229,0.07017543859649122,1.0,0.03636363636363636
1.0,Random Forest (Baseline),0.7587719298245614,0.0,0.0,0.0
1.0,Random Forest (Augmented),0.75,0.03389830508474576,0.25,0.01818181818181818
