dataset_size,model,accuracy,f1_score,precision,recall
0.1,Random Forest (Baseline),0.7228070175438597,0.04819277108433735,0.14285714285714285,0.028985507246376812
0.1,Random Forest (Augmented),0.7017543859649122,0.12371134020618557,0.21428571428571427,0.08695652173913043
0.2,Random Forest (Baseline),0.7087719298245614,0.04597701149425287,0.1111111111111111,0.028985507246376812
0.2,Random Forest (Augmented),0.7087719298245614,0.10752688172043011,0.20833333333333334,0.07246376811594203
0.3,Random Forest (Baseline),0.7298245614035088,0.09411764705882353,0.25,0.057971014492753624
0.3,Random Forest (Augmented),0.7333333333333333,0.11627906976744186,0.29411764705882354,0.07246376811594203
0.4,Random Forest (Baseline),0.7298245614035088,0.07228915662650602,0.21428571428571427,0.043478260869565216
0.4,Random Forest (Augmented),0.7333333333333333,0.05,0.18181818181818182,0.028985507246376812
0.5,Random Forest (Baseline),0.7473684210526316,0.07692307692307693,0.3333333333333333,0.043478260869565216
0.5,Random Forest (Augmented),0.7543859649122807,0.07894736842105263,0.42857142857142855,0.043478260869565216
0.6,Random Forest (Baseline),0.7473684210526316,0.05263157894736842,0.2857142857142857,0.028985507246376812
0.6,Random Forest (Augmented),0.7508771929824561,0.0273972602739726,0.25,0.014492753623188406
0.7,Random Forest (Baseline),0.7578947368421053,0.028169014084507043,0.5,0.014492753623188406
0.7,Random Forest (Augmented),0.743859649122807,0.0,0.0,0.0
0.8,Random Forest (Baseline),0.7614035087719299,0.08108108108108109,0.6,0.043478260869565216
0.8,Random Forest (Augmented),0.7473684210526316,0.02702702702702703,0.2,0.014492753623188406
0.9,Random Forest (Baseline),0.7473684210526316,0.05263157894736842,0.2857142857142857,0.028985507246376812
0.9,Random Forest (Augmented),0.7543859649122807,0.05405405405405406,0.4,0.028985507246376812
1.0,Random Forest (Baseline),0.743859649122807,0.05194805194805195,0.25,0.028985507246376812
1.0,Random Forest (Augmented),0.743859649122807,0.02666666666666667,0.16666666666666666,0.014492753623188406
