dataset_size,model,accuracy,f1_score,precision,recall
0.1,Random Forest,0.775,0.6817053571428572,0.82852422907489,0.775
0.1,XGBoost,0.7291666666666666,0.6871635384839226,0.6680657679738561,0.7291666666666666
0.1,Logistic Regression,0.7541666666666667,0.6771668888081102,0.6544696969696969,0.7541666666666667
0.1,SVM,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.2,Random Forest,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.2,XGBoost,0.75,0.6963975694444444,0.6843183718985224,0.75
0.2,Logistic Regression,0.7708333333333334,0.6795112781954887,0.7131821533923303,0.7708333333333334
0.2,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.3,Random Forest,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.3,XGBoost,0.7416666666666667,0.6862774884259258,0.6674217080197008,0.7416666666666667
0.3,Logistic Regression,0.7625,0.6678571428571428,0.5954092920353983,0.7625
0.3,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.4,Random Forest,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.4,XGBoost,0.7291666666666666,0.6829218494785778,0.6618729773462783,0.7291666666666666
0.4,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.4,SVM,0.775,0.6888364234967944,0.7538148148148148,0.775
0.5,Random Forest,0.7583333333333333,0.6657872696817421,0.5946296296296296,0.7583333333333333
0.5,XGBoost,0.7541666666666667,0.6991003597341625,0.6901631289308177,0.7541666666666667
0.5,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.5,SVM,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.6,Random Forest,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.6,XGBoost,0.7541666666666667,0.6991003597341625,0.6901631289308177,0.7541666666666667
0.6,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.6,SVM,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.7,Random Forest,0.7666666666666667,0.6699166666666667,0.5961820851688694,0.7666666666666667
0.7,XGBoost,0.7458333333333333,0.6889003719285409,0.6724400550314465,0.7458333333333333
0.7,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.7,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.8,Random Forest,0.7625,0.6678571428571428,0.5954092920353983,0.7625
0.8,XGBoost,0.7125,0.6586220472440945,0.625,0.7125
0.8,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.8,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.9,Random Forest,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.9,XGBoost,0.7333333333333333,0.6654133818475845,0.6283959451401311,0.7333333333333333
0.9,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
0.9,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
1.0,Random Forest,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
1.0,XGBoost,0.7375,0.6787003841229193,0.6547169811320754,0.7375
1.0,Logistic Regression,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
1.0,SVM,0.7708333333333334,0.6719659185369908,0.5969480994152047,0.7708333333333334
